item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K9me3-H3K9ac-H3K27ac-H3K4me3,0.4861,0.5109,0.6854,50.01,77.6562,79.17,0.5,0.7769,0.79,0.5217,0.5295,0.6713,49.99,76.9375,77.77,0.5,0.7684,0.78,76.77,0.77
H3K9me3-H3K27ac-H3K4me3-H3K9ac,0.4857,0.5137,0.6851,68.29,77.9731,79.16,0.68,0.78,0.79,0.5217,0.5317,0.6736,74.68,77.1105,77.71,0.75,0.7698,0.78,76.76,0.77
H3K9me3-H3K27ac-H3K9ac-H3K4me3,0.4834,0.5082,0.673,52.48,78.0007,79.23,0.52,0.7799,0.79,0.5218,0.5295,0.6488,74.39,77.1677,77.81,0.74,0.7706,0.78,76.69,0.77
H3K27ac-H3K4me3-H3K9ac-H3K9me3,0.4879,0.5122,0.6857,50.1,77.7908,78.93,0.5,0.7784,0.79,0.5212,0.529,0.674,73.73,77.2864,77.7,0.74,0.7737,0.78,76.74,0.77
H3K27ac-H3K4me3-H3K9me3-H3K9ac,0.4867,0.5118,0.6817,54.4,77.8537,79.16,0.54,0.7789,0.79,0.522,0.5301,0.6655,74.04,77.086,77.61,0.74,0.7698,0.78,76.69,0.77
H3K27ac-H3K9ac-H3K4me3-H3K9me3,0.4854,0.5108,0.6783,50.36,77.79,79.13,0.5,0.7784,0.79,0.5221,0.5298,0.6605,73.12,77.1229,77.77,0.73,0.7699,0.78,76.62,0.77
H3K27ac-H3K9ac-H3K9me3-H3K4me3,0.4832,0.5103,0.6684,75.01,78.1467,79.06,0.75,0.7818,0.79,0.5221,0.5306,0.6436,75.83,77.1979,77.7,0.76,0.7716,0.78,76.65,0.77
H3K27ac-H3K9me3-H3K4me3-H3K9ac,0.4854,0.5114,0.6804,66.63,77.9769,79.15,0.67,0.7804,0.79,0.5228,0.5313,0.6621,74.5,77.1263,77.73,0.75,0.7701,0.78,76.65,0.77
H3K27ac-H3K9me3-H3K9ac-H3K4me3,0.4837,0.509,0.6763,57.47,78.0628,79.19,0.57,0.7808,0.79,0.5211,0.5287,0.6555,74.43,77.2945,77.86,0.74,0.773,0.78,76.74,0.77
H3K4me3-H3K9ac-H3K9me3-H3K27me3,0.4922,0.5142,0.6867,50.01,77.2992,78.54,0.5,0.7721,0.79,0.5249,0.5324,0.6735,49.99,76.7376,77.42,0.5,0.7662,0.77,76.01,0.76
H3K4me3-H3K9ac-H3K27me3-H3K9me3,0.4921,0.5159,0.6833,50.3,77.3499,78.62,0.5,0.7735,0.79,0.526,0.5342,0.6699,70.14,76.8897,77.5,0.7,0.768,0.77,75.98,0.76
H3K4me3-H3K9me3-H3K9ac-H3K27me3,0.4936,0.5158,0.6852,51.12,77.414,78.54,0.51,0.7737,0.79,0.5243,0.5331,0.6722,73.2,76.9901,77.54,0.73,0.7686,0.78,76.2,0.76
H3K4me3-H3K9me3-H3K27me3-H3K9ac,0.4918,0.5151,0.6805,62.12,77.5561,78.52,0.62,0.7757,0.79,0.5256,0.5333,0.6636,75.07,76.9834,77.44,0.75,0.7685,0.77,76.15,0.76
H3K4me3-H3K27me3-H3K9ac-H3K9me3,0.4908,0.5139,0.6822,50.01,77.426,78.67,0.5,0.7739,0.79,0.5258,0.5328,0.6618,50.25,76.7276,77.46,0.5,0.7661,0.77,76.04,0.76
H3K4me3-H3K27me3-H3K9me3-H3K9ac,0.4908,0.5154,0.6837,50.97,77.4085,78.61,0.51,0.7738,0.79,0.5248,0.5337,0.6702,70.91,77.0113,77.52,0.71,0.7685,0.78,76.17,0.76
H3K9ac-H3K4me3-H3K9me3-H3K27me3,0.4905,0.5137,0.679,65.31,77.659,78.67,0.65,0.7757,0.79,0.5264,0.534,0.6601,75.88,76.9828,77.44,0.76,0.7686,0.77,76.16,0.76
H3K9ac-H3K4me3-H3K27me3-H3K9me3,0.4919,0.5161,0.6816,50.01,77.2321,78.63,0.5,0.7718,0.79,0.5267,0.535,0.6647,49.99,76.5091,77.4,0.5,0.7645,0.77,76.1,0.76
H3K9ac-H3K9me3-H3K4me3-H3K27me3,0.4932,0.5161,0.6817,61.49,77.5226,78.54,0.61,0.7755,0.79,0.5257,0.5335,0.6654,75.72,76.9582,77.52,0.76,0.7687,0.78,76.09,0.76
H3K9ac-H3K9me3-H3K27me3-H3K4me3,0.4911,0.5149,0.6781,60.93,77.5906,78.61,0.61,0.7758,0.79,0.5262,0.5337,0.6562,75.67,76.9806,77.39,0.76,0.7685,0.77,76.08,0.76
H3K9ac-H3K27me3-H3K4me3-H3K9me3,0.4913,0.5133,0.6786,69.62,77.7061,78.63,0.7,0.777,0.79,0.5249,0.5315,0.6593,75.91,77.0498,77.44,0.76,0.769,0.77,76.09,0.76
H3K9ac-H3K27me3-H3K9me3-H3K4me3,0.4927,0.5183,0.6849,50.01,77.005,78.63,0.5,0.7699,0.79,0.5267,0.5365,0.6741,49.99,76.3288,77.46,0.5,0.7628,0.77,76.09,0.76
H3K9me3-H3K4me3-H3K9ac-H3K27me3,0.495,0.5175,0.6855,53.29,77.3323,78.38,0.53,0.773,0.78,0.5248,0.5332,0.6749,74.73,76.9299,77.46,0.75,0.7685,0.77,76.23,0.76
H3K9me3-H3K4me3-H3K27me3-H3K9ac,0.492,0.5167,0.6865,50.01,77.2469,78.65,0.5,0.7724,0.79,0.5255,0.5338,0.6751,49.99,76.7441,77.43,0.5,0.7658,0.77,76.05,0.76
H3K9me3-H3K9ac-H3K4me3-H3K27me3,0.4944,0.5174,0.6851,56.53,77.394,78.48,0.57,0.7735,0.78,0.526,0.5349,0.6701,74.96,76.8631,77.48,0.75,0.7681,0.77,76.17,0.76
H3K9me3-H3K9ac-H3K27me3-H3K4me3,0.4889,0.5127,0.6873,65.81,77.6918,78.78,0.66,0.7764,0.79,0.5252,0.5332,0.675,74.43,76.9663,77.48,0.74,0.7683,0.77,76.09,0.76
